lat_api,lon_api,n_geoapify_pois_total,n_geoapify_tourism,n_geoapify_attractions,n_geoapify_sights,n_geoapify_heritage,geoapify_tourism_density_score,geoapify_limit_hit
48.87,2.36,20,10,6,7,15,41,
48.86,2.35,20,13,12,7,9,47,
48.86,2.36,20,11,1,10,13,35,
48.87,2.32,20,16,8,11,8,46,1.0
48.85,2.33,20,15,13,2,6,36,1.0
48.85,2.34,20,14,12,3,8,38,1.0
48.86,2.33,20,16,15,3,5,41,1.0
48.88,2.31,20,14,8,6,11,39,1.0
48.87,2.34,20,7,2,5,16,30,1.0
48.87,2.35,20,7,4,4,17,33,1.0
48.87,2.31,20,9,3,7,13,33,1.0
48.86,2.34,20,16,11,9,7,47,1.0
48.88,2.34,20,11,6,5,12,34,1.0
48.86,2.32,20,13,7,10,11,45,1.0
48.85,2.35,20,14,7,10,8,42,1.0
48.85,2.36,20,8,2,7,16,34,1.0
48.87,2.33,20,12,3,11,16,44,1.0
48.88,2.33,20,8,4,4,15,31,1.0
48.86,2.37,20,16,8,9,13,47,1.0
48.88,2.35,20,15,6,9,14,44,1.0
48.87,2.37,20,16,8,11,5,43,1.0
48.88,2.32,20,12,9,3,11,35,1.0
48.88,2.36,20,15,10,5,10,40,1.0
48.85,2.32,20,16,5,11,7,39,1.0
48.84,2.35,20,18,17,3,3,43,1.0
48.85,2.37,20,14,8,9,10,44,1.0
48.84,2.34,20,15,9,8,9,43,1.0
48.84,2.37,20,19,11,8,1,39,1.0
48.84,2.36,20,18,15,5,4,44,1.0
48.87,2.3,20,7,3,4,15,29,1.0
48.84,2.33,20,15,8,9,9,43,1.0
48.89,2.3,7,7,4,3,0,14,0.0
48.86,2.31,20,17,10,9,5,43,1.0
48.84,2.32,20,18,4,15,3,41,1.0
48.85,2.29,8,8,4,4,0,16,0.0
48.87,2.29,20,16,8,8,8,40,1.0
48.88,2.29,16,14,13,2,2,32,0.0
48.85,2.3,17,15,12,3,2,32,0.0
48.88,2.3,13,7,4,3,7,21,0.0
48.86,2.3,20,15,10,6,6,38,1.0
48.84,2.3,19,15,4,11,4,34,0.0
48.84,2.31,11,9,4,5,3,21,0.0
48.85,2.31,20,14,10,4,6,34,1.0
48.86,2.29,20,16,13,4,7,41,1.0
48.88,2.28,12,11,2,9,2,24,0.0
48.87,2.28,19,12,4,10,11,39,0.0
48.89,2.29,20,19,14,5,1,39,1.0
48.89,2.33,20,18,5,13,5,41,1.0
48.88,2.37,20,17,14,3,9,43,1.0
48.89,2.35,15,14,9,5,2,30,0.0
48.89,2.32,19,15,11,4,5,35,0.0
48.89,2.34,20,16,11,9,6,46,1.0
48.87,2.38,20,18,10,8,4,40,1.0
48.88,2.38,20,18,12,7,3,41,1.0
48.89,2.36,3,2,1,1,1,5,0.0
48.86,2.38,18,15,6,9,4,34,0.0
48.85,2.39,20,16,11,6,6,40,1.0
48.83,2.36,20,19,17,2,4,42,1.0
48.89,2.38,14,12,6,6,3,27,0.0
48.85,2.4,16,15,9,8,6,40,0.0
48.85,2.41,7,7,5,2,0,14,0.0
48.83,2.41,4,4,2,2,0,8,0.0
48.83,2.4,7,6,2,4,1,13,0.0
48.9,2.38,4,3,1,2,1,7,0.0
48.85,2.38,20,12,6,8,9,37,1.0
48.84,2.39,16,14,10,4,3,31,0.0
48.84,2.41,7,7,2,5,0,14,0.0
48.84,2.42,6,6,4,2,0,12,0.0
48.84,2.4,20,18,7,11,3,39,1.0
48.85,2.42,20,19,1,18,1,39,1.0
48.86,2.39,20,19,2,17,3,41,1.0
48.89,2.39,20,20,14,6,0,40,1.0
48.83,2.37,20,19,10,9,1,39,1.0
48.84,2.43,8,8,1,8,1,19,0.0
48.86,2.4,20,17,2,15,4,38,1.0
48.9,2.37,14,14,12,2,0,28,0.0
48.83,2.38,20,19,12,7,2,40,1.0
48.84,2.38,20,20,20,0,0,40,1.0
48.83,2.35,20,15,15,0,8,38,1.0
48.9,2.39,7,7,6,1,0,14,0.0
48.87,2.39,20,14,5,9,7,35,1.0
48.89,2.37,20,19,19,0,2,40,1.0
48.84,2.44,20,20,12,10,1,45,1.0
48.83,2.33,20,12,6,7,12,38,1.0
48.84,2.29,11,10,1,9,1,21,0.0
48.85,2.28,12,9,4,5,3,21,0.0
48.82,2.33,20,10,7,3,10,30,1.0
48.83,2.32,15,12,5,7,3,27,0.0
48.84,2.27,10,9,4,5,1,19,0.0
48.85,2.27,20,12,5,8,14,40,1.0
48.83,2.34,18,17,7,10,2,36,0.0
48.82,2.35,15,13,10,3,2,28,0.0
48.84,2.28,20,17,5,14,3,41,1.0
48.83,2.28,12,11,6,5,1,23,0.0
48.83,2.31,8,8,2,6,0,16,0.0
48.83,2.29,8,8,4,4,0,16,0.0
48.83,2.3,20,19,10,9,1,39,1.0
48.86,2.28,20,18,4,15,8,46,1.0
48.82,2.36,20,19,15,4,1,39,1.0
48.82,2.34,20,12,5,7,11,35,1.0
48.82,2.32,20,19,2,17,1,39,1.0
48.9,2.33,5,5,2,3,0,10,0.0
48.89,2.31,9,9,7,2,0,18,0.0
48.84,2.26,15,10,2,8,6,26,0.0
48.9,2.32,6,6,1,5,1,13,0.0
48.85,2.26,13,9,4,5,9,27,0.0
48.86,2.27,17,17,6,13,2,40,0.0
48.9,2.34,5,5,4,1,0,10,0.0
48.87,2.27,5,4,0,4,1,9,0.0
48.85,2.25,2,2,2,0,1,5,0.0
48.86,2.26,2,2,1,2,1,7,0.0
48.84,2.25,13,7,1,6,7,21,0.0
48.9,2.35,8,8,6,2,0,16,0.0
48.88,2.27,14,14,8,6,1,29,0.0
48.88,2.39,15,14,11,3,2,30,0.0
48.87,2.4,7,6,2,4,1,13,0.0
48.88,2.4,12,11,9,2,3,25,0.0
48.9,2.36,7,7,5,2,0,14,0.0
48.87,2.41,1,1,0,1,0,2,0.0
48.86,2.41,10,7,4,3,3,17,0.0
48.89,2.4,7,7,5,2,0,14,0.0
48.88,2.41,7,5,2,3,3,13,0.0
48.83,2.27,4,3,2,1,1,7,0.0
